lila_lemma	lila_inftype	inftype_qid
lemma/95686	v1r	Q331
lemma/95728	v6r	Q337
lemma/100361	v1d	Q330
lemma/101865	v5r	Q336
lemma/106353	v3r	Q334
lemma/107204	v1r	Q331
lemma/108530	v1r	Q331
lemma/108900	v3r	Q334
lemma/109762	v3d	Q338
lemma/111673	v1r	Q331
lemma/114227	v5r	Q336
lemma/114784	v3r	Q334
lemma/122397	v3r	Q334
lemma/122552	v1r	Q331
lemma/127656	v1r	Q331
lemma/128941	v4r	Q335
lemma/130780	v1r	Q331
lemma/131846	v1r	Q331
lemma/136750	v1r	Q331
lemma/141739	v6r	Q337
lemma/142025	v3r	Q334
lemma/26471	v1r	Q331
lemma/43174	v3r	Q334
lemma/45533	v1r	Q331
lemma/49508	v2r	Q332
lemma/52743	v1r	Q331
