lemma	lemmaLabel	variant	variantLabel
lemma/90693	auguror	lemma/90694	auguro
lemma/90694	auguro	lemma/90693	auguror
lemma/96460	conuicior	lemma/141741	conuitio
lemma/98743	depopulor	lemma/98744	depopulo
lemma/98744	depopulo	lemma/98743	depopulor
lemma/106061	ico	lemma/106062	icio
lemma/106062	icio	lemma/106061	ico
lemma/113387	nascor	lemma/113388	nasco
lemma/113563	negotior	lemma/67313	negotio
lemma/124497	sermocinor	lemma/124498	sermocino
lemma/124498	sermocino	lemma/124497	sermocinor
lemma/67313	negotio	lemma/113563	negotior
lemma/98335	deglubo	lemma/98336	deglubo
lemma/98336	deglubo	lemma/98335	deglubo
lemma/129986	uesco	lemma/129985	uescor
lemma/113031	muneror	lemma/113032	munero
lemma/113032	munero	lemma/113031	muneror
lemma/113388	nasco	lemma/113387	nascor
lemma/88942	ancillor	lemma/88943	ancillo
lemma/88943	ancillo	lemma/88942	ancillor
lemma/93550	cernuor	lemma/93551	cernuo
lemma/93551	cernuo	lemma/93550	cernuor
lemma/122429	recordor	lemma/122430	recordo
lemma/122430	recordo	lemma/122429	recordor
lemma/142017	peragror	lemma/116589	peragro
lemma/43986	conturbor	lemma/96398	conturbo
lemma/93265	causidicor	lemma/40328	causidico
lemma/141803	extricor	lemma/102460	extrico
lemma/122341	racemor	lemma/122342	racemo
lemma/142043	praestat	lemma/119246	praesto
lemma/142021	perior	lemma/131472	perio
lemma/89590	appertineo	lemma/27504	adpertinet
lemma/92676	capillasco	lemma/38969	capillascit
lemma/88151	agonizor	lemma/88152	agonizo
lemma/122495	refert	lemma/122494	refero
lemma/46771	depraesentor	lemma/98765	depraesento
lemma/132425	tenebricor	lemma/127812	tenebrico
lemma/102418	extergo	lemma/102417	extergeo
lemma/82892	subeor	lemma/126085	subeo
lemma/94867	colliquesco	lemma/42643	colliquescit
lemma/158394	grandinat	lemma/104838	grandino
lemma/158446	pertergo	lemma/117387	pertergeo
lemma/158396	hamaxor	lemma/135816	hamaxo
lemma/158297	abitur	lemma/86873	abeo
lemma/158352	deargentasso	lemma/46113	deargentassere
lemma/158367	discrucior	lemma/99661	discrucio
lemma/158454	praesagior	lemma/119164	praesagio
lemma/158302	adeor	lemma/87421	adeo
lemma/158433	parentor	lemma/116030	parento
lemma/158414	laetificor	lemma/109729	laetifico
lemma/158315	bipartior	lemma/91634	bipertio
lemma/156196	obtingit	lemma/114505	obtingo
lemma/156159	cedit	lemma/93298	cedo
lemma/156194	oblector	lemma/114265	oblecto
lemma/156180	grauor	lemma/104908	grauo
lemma/156197	obuenit	lemma/114540	obuenio
