lexeme	lila_lemma	wikibase_entry
c0155	92283	L19445
c0193	92327	L19446
c0200	92334	L19447
c0203	92337	L19448
c0209	92343	L19449
c0214	92350	L19450
c0214	92350	L19450
c0215	92351	L19451
c0218	92354	L19452
c0222	92358	L19453
c0227	92363	L19454
c0230	92366	L19455
c0237	92375	L19456
c0240	92378	L19457
c0250	92390	L19458
c0271	92413	L19459
c0272	92414	L19460
c0283	92426	L19461
c0289	92432	L19462
c0289_sc	92433	L19463
c0296	92443	L19464
c0298	92445	L19465
c0299	92447	L19466
c0310	92460	L19467
c0311	92461	L19468
c0324	92474	L19469
c0335	92491	L19470
c0344	92500	L19471
c0372	92531	L19472
c0376	92535	L19473
c0376_sc	92536	L19474
c0381	92541	L19475
c0382	92542	L19476
c0386	92548	L19477
c0388	92550	L19478
c0392	92554	L19479
c0395	92559	L19480
c0400	92564	L19481
c0400_sc	92565	L19482
c0405	92570	L19483
c0428	92600	L19484
c0432	92607	L19485
c0462	92641	L19486
c0464	92643	L19487
c0466	92645	L19488
c0470	92649	L19489
c0481	92662	L19490
c0484	92666	L19491
c0485	92667	L19492
c0492	92676	L19493
c0500	92686	L19494
c0505	92691	L19495
c0545	92739	L19496
c0552	92749	L19497
c0573	92772	L19498
c0580	92779	L19499
c0582	92784	L19500
c0589	92792	L19501
c0601	92810	L19502
c0604	92813	L19503
c0612	92822	L19504
c0627	92838	L19505
c0637	92848	L19506
c0646	92857	L19507
c0660	92872	L19508
c0675	92891	L19509
c0680	92896	L19510
c0698	92916	L19511
c0705	92924	L19512
c0747	92973	L19513
c0757	92984	L19514
c0758	92985	L19515
c0770	93002	L19516
c0776	93008	L19517
c0796	93033	L19518
c0816	93056	L19519
c0836	93077	L19520
c0864	93107	L19521
c0877	93122	L19522
c0898	93144	L19523
c0905	93153	L19524
c0910	93159	L19525
c0917	93166	L19526
c0921	93171	L19527
c0943	93194	L19528
c0948	93199	L19529
c0949	93200	L19530
c0954	93206	L19531
c0966	93221	L19532
c0980	93236	L19533
c0987	93245	L19534
c0993	93251	L19535
c1007	93265	L19536
c1009	93267	L19537
c1012	93271	L19538
c1017	93279	L19539
c1019	93281	L19540
c1031	93298	L19541
c1048	93318	L19542
c1049	93319	L19543
c1059	93331	L19544
c1078	93353	L19545
c1101	93376	L19546
c1102	93377	L19547
c1107	93382	L19548
c1108	93384	L19549
c1108	93384	L19549
c1119	93395	L19550
c1133	93415	L19551
c1135	93419	L19552
c1163	93450	L19553
c1169	93458	L19554
c1235	93533	L19555
c1244	93546	L19556
c1245	93547	L19557
c1246	93548	L19558
c1248	93551	L19559
c1250	93554	L19560
c1269	93574	L19561
c1270	93575	L19562
c1271	93576	L19563
c1271_sc	93576	L19564
c1274	93580	L19565
c1303	93611	L19566
c1320	93633	L19567
c1390	93708	L19568
c1395	93714	L19569
c1411	93733	L19570
c1430	93756	L19571
c1511	93851	L19572
c1512	93852	L19573
c1535	93878	L19574
c1574	93923	L19575
c1579	93930	L19576
c1599	93951	L19577
c1604	93957	L19578
c1613	93968	L19579
c1625	93980	L19580
c1645	94004	L19581
c1651	94012	L19582
c1677	94044	L19583
c1682	94049	L19584
c1686	94054	L19585
c1693	94063	L19586
c1697	94068	L19587
c1698	94069	L19588
c1699	94070	L19589
c1700	94071	L19590
c1701	94072	L19591
c1702	94073	L19592
c1703	94074	L19593
c1704	94075	L19594
c1705	94076	L19595
c1707	94078	L19596
c1708	94079	L19597
c1712	94083	L19598
c1714	94085	L19599
c1719	94090	L19600
c1724	94095	L19601
c1725	94096	L19602
c1727	94098	L19603
c1729	94100	L19604
c1730	94101	L19605
c1732	94103	L19606
c1734	94105	L19607
c1735	94106	L19608
c1736	94107	L19609
c1737	94108	L19610
c1741	94112	L19611
c1742	94113	L19612
c1743	94114	L19613
c1744	94115	L19614
c1745	94116	L19615
c1746	94117	L19616
c1747	94118	L19617
c1748	94119	L19618
c1749	94120	L19619
c1750	94121	L19620
