lexeme	lila_lemma	wikibase_entry
c0466	92645	L11437
c0470	92649	L11438
c0481	92662	L11439
c0484	92666	L11440
c0492	92676	L11441
c0500	92686	L11442
c0505	92691	L11443
c0545	92739	L11444
c0552	92749	L11445
c0573	92772	L11446
c0580	92779	L11447
c0582	92784	L11448
c0589	92792	L11449
c0601	92810	L11450
c0604	92813	L11451
c0612	92822	L11452
c0627	92838	L11453
c0637	92848	L11454
c0646	92857	L11455
c0660	92872	L11456
c0675	92891	L11457
c0680	92896	L11458
c0705	92924	L11459
c0747	92973	L11460
c0757	92984	L11461
c0758	92985	L11462
c0770	93002	L11463
c0776	93008	L11464
c0796	93033	L11465
c0816	93056	L11466
c0836	93077	L11467
c0864	93107	L11468
c0877	93122	L11469
c0898	93144	L11470
c0905	93153	L11471
c0910	93159	L11472
c0917	93166	L11473
c0921	93171	L11474
c0943	93194	L11475
c0948	93199	L11476
c0949	93200	L11477
c0954	93206	L11478
c0966	93221	L11479
c0980	93236	L11480
c0987	93245	L11481
c0993	93251	L11482
c1007	93265	L11483
c1009	93267	L11484
c1012	93271	L11485
c1017	93279	L11486
c1019	93281	L11487
c1031	93298	L11488
c1048	93318	L11489
c1049	93319	L11490
c1059	93331	L11491
c1078	93353	L11492
c1101	93376	L11493
c1102	93377	L11494
c1107	93382	L11495
c1119	93395	L11496
c1133	93415	L11497
c1135	93419	L11498
c1163	93450	L11499
c1169	93458	L11500
c1235	93533	L11501
c1244	93546	L11502
c1245	93547	L11503
c1246	93548	L11504
c1248	93551	L11505
c1250	93554	L11506
c1269	93574	L11507
c1270	93575	L11508
c1271	93576	L11509
c1271_sc	93576	L11510
c1274	93580	L11511
c1303	93611	L11512
c1320	93633	L11513
c1390	93708	L11514
c1395	93714	L11515
c1411	93733	L11516
c1430	93756	L11517
c1511	93851	L11518
c1512	93852	L11519
c1535	93878	L11520
c1574	93923	L11521
c1579	93930	L11522
c1599	93951	L11523
c1604	93958	L11524
c1613	93968	L11525
c1625	93980	L11526
c1645	94004	L11527
c1651	94012	L11528
c1677	94044	L11529
c1682	94049	L11530
c1686	94054	L11531
c1693	94063	L11532
c1697	94068	L11533
c1698	94069	L11534
c1699	94070	L11535
c1700	94071	L11536
c1701	94072	L11537
c1702	94073	L11538
c1703	94074	L11539
c1704	94075	L11540
c1705	94076	L11541
c1707	94078	L11542
c1708	94079	L11543
c1712	94083	L11544
c1714	94085	L11545
c1719	94090	L11546
c1724	94095	L11547
c1725	94096	L11548
c1727	94098	L11549
c1729	94100	L11550
c1730	94101	L11551
c1732	94103	L11552
c1734	94105	L11553
c1735	94106	L11554
c1736	94107	L11555
c1737	94108	L11556
c1742	94113	L11557
c1743	94114	L11558
c1744	94115	L11559
c1745	94116	L11560
c1746	94117	L11561
c1747	94118	L11562
c1748	94119	L11563
c1749	94120	L11564
c1750	94121	L11565
c1753	94124	L11566
c1754	94125	L11567
c1756	94127	L11568
c1758	94129	L11569
c1762	94133	L11570
c1763	94134	L11571
c1764	94135	L11572
c1765	94136	L11573
c1768	94139	L11574
c1769	94140	L11575
c1771	94142	L11576
c1772	94143	L11577
c1773	94144	L11578
c1774	94145	L11579
c1777	94148	L11580
c1778	94149	L11581
c1781	94152	L11582
c1782	94153	L11583
c1785	94156	L11584
c1786	94157	L11585
c1787	94158	L11586
c1792	94163	L11587
c1794	94165	L11588
c1795	94167	L11589
c1797	94169	L11590
c1798	94170	L11591
c1802	94175	L11592
c1803	94176	L11593
c1804	94177	L11594
c1805	94178	L11595
c1808	94181	L11596
c1809	94183	L11597
c1810	94184	L11598
c1811	94185	L11599
c1812	94186	L11600
c1813	94187	L11601
c1814	94188	L11602
c1819	94193	L11603
c1820	94194	L11604
c1821	94195	L11605
c1822	94196	L11606
c1823	94197	L11607
c1826	94200	L11608
c1828	94202	L11609
c1831	94205	L11610
c1832	94207	L11611
c1833	94208	L11612
c1834	94209	L11613
c1835	94210	L11614
c1838	94213	L11615
c1839	94214	L11616
c1840	94215	L11617
c1842	94217	L11618
c1844	94219	L11619
c1845	94220	L11620
c1846	94221	L11621
c1847	94222	L11622
c1848	94223	L11623
c1849	94224	L11624
c1850	94225	L11625
c1851	94226	L11626
c1853	94228	L11627
c1854	94229	L11628
c1855	94230	L11629
c1856	94231	L11630
c1859	94234	L11631
c1862	94238	L11632
c1863	94239	L11633
c1865	94241	L11634
c1866	94242	L11635
c1867	94243	L11636
c1869	94246	L11637
c1870	94247	L11638
c1875	94252	L11639
c1877	94254	L11640
c1878	94255	L11641
c1879	94256	L11642
c1880	94257	L11643
c1881	94258	L11644
c1883	94260	L11645
c1888	94265	L11646
c1890	94267	L11647
c1891	94268	L11648
c1892	94269	L11649
c1893	94270	L11650
c1894	94271	L11651
c1896	94273	L11652
c1897	94274	L11653
c1898	94275	L11654
c1899	94276	L11655
c1900	94277	L11656
c1901	94278	L11657
c1903	94281	L11658
c1904	94282	L11659
c1905	94283	L11660
c1907	94285	L11661
c1908	94286	L11662
c1909	94287	L11663
c1910	94288	L11664
c1911	94289	L11665
c1912	94290	L11666
c1914	94292	L11667
c1916	94294	L11668
c1917	94296	L11669
c1918	94297	L11670
c1920	94299	L11671
c1921	94300	L11672
c1925	94304	L11673
c1927	94306	L11674
c1928	94307	L11675
c1929	94308	L11676
c1930	94309	L11677
c1931	94310	L11678
c1933	94312	L11679
c1934	94313	L11680
c1935	94314	L11681
c1936	94315	L11682
c1938	94317	L11683
c1986	94372	L11684
c1991	94378	L11685
c2018	94410	L11686
c2019	94411	L11687
c2027	94419	L11688
c2030	94422	L11689
c2030_sc	94423	L11690
c2031	94424	L11691
c2033	94426	L11692
c2037	94430	L11693
c2038	94431	L11694
c2044	94437	L11695
c2054	94451	L11696
c2058	94457	L11697
c2060	94461	L11698
c2072	94473	L11699
c2089	94490	L11700
c2092	94493	L11701
c2097	94498	L11702
c2115	94516	L11703
c2117	94519	L11704
c2121	94523	L11705
c2137	94542	L11706
c2139	94544	L11707
c2140	94545	L11708
c2143	94548	L11709
c2145	94551	L11710
c2160	94568	L11711
c2162	94570	L11712
c2176	94585	L11713
c2177	94586	L11714
c2185	94595	L11715
c2189	94599	L11716
c2191	94601	L11717
c2192	94602	L11718
c2193	94603	L11719
c2196	94606	L11720
c2198	94608	L11721
c2199	94609	L11722
c2201	94611	L11723
c2202	94612	L11724
c2206	94617	L11725
c2209	94620	L11726
c2210	94621	L11727
c2212	94623	L11728
c2217	94628	L11729
c2219	94630	L11730
c2222	94633	L11731
c2224	94635	L11732
c2228	94639	L11733
c2229	94640	L11734
c2232	94643	L11735
c2234	94645	L11736
c2235	94646	L11737
c2240	94651	L11738
c2241	94652	L11739
c2262	94676	L11740
c2268	94682	L11741
c2280	94694	L11742
c2281	94695	L11743
c2285	94699	L11744
c2286	94700	L11745
c2287	94701	L11746
c2290	94704	L11747
c2293	94707	L11748
c2294	94708	L11749
c2304	94718	L11750
c2320	94736	L11751
c2322	94738	L11752
c2323	94739	L11753
c2326	94742	L11754
c2327	94743	L11755
c2330	94746	L11756
c2333	94749	L11757
c2334	94750	L11758
c2341	94758	L11759
c2343	94760	L11760
c2344	94761	L11761
c2346	94763	L11762
c2349	94766	L11763
c2350	94767	L11764
c2353	94772	L11765
c2361	94782	L11766
c2365	94786	L11767
c2366	94787	L11768
c2367	94788	L11769
c2368	94789	L11770
c2369	94790	L11771
c2370	94791	L11772
c2371	94792	L11773
c2373	94795	L11774
c2376	94799	L11775
c2377	94800	L11776
c2381	94807	L11777
c2386	94813	L11778
c2390	94817	L11779
c2391	94818	L11780
c2403	94831	L11781
c2413	94842	L11782
c2414	94843	L11783
c2418	94847	L11784
c2421	94850	L11785
c2425	94854	L11786
c2429	94859	L11787
c2430	94860	L11788
c2432	94862	L11789
c2434	94865	L11790
c2435	94866	L11791
c2436	94867	L11792
c2441	94872	L11793
c2442	94873	L11794
c2446	94877	L11795
c2447	94878	L11796
