token,linked_form
Q36068,L24134-F1
Q47468,L25938-F4
Q7384,L20031-F1
Q14985,L21001-F8
Q71329,L25938-F95
Q71329,L25939-F167
Q38597,L25473-F162
Q57991,L25938-F1
Q5936,L19810-F58
Q16580,L26631-F390
Q33231,L21957-F183
Q9571,L20346-F10
Q3420,L19119-F8
Q47455,L25938-F4
Q1131,L18718-F7
Q61325,L21535-F4
Q973,L18707-F13
Q47838,L24334-F159
Q35249,L25938-F4
Q32435,L25938-F108
Q41879,L26516-F55
Q811,L18707-F149
Q11059,L20530-F4
Q49704,L25938-F4
Q70286,L21894-F91
Q26735,L22721-F32
Q55568,L23676-F4
Q29600,L24255-F194
Q42777,L25938-F7
Q11630,L20796-F4
Q38126,L22180-F7
Q60969,L24911-F4
Q69210,L26584-F1
Q20751,L25008-F110
Q31067,L26516-F55
Q11943,L20880-F7
Q64467,L23244-F102
Q60212,L24135-F4
Q62582,L25938-F4
Q10131,L20380-F266
Q39461,L24765-F4
Q14340,L21001-F2
Q48270,L24596-F1
Q26352,L25938-F4
Q55343,L25938-F4
Q2399,L18960-F4
Q65365,L25938-F4
Q55055,L23349-F4
Q30477,L25269-F43
Q24956,L24268-F4
Q26341,L25938-F4
Q20755,L25938-F4
Q45862,L25938-F4
Q49177,L25938-F109
Q1646,L18873-F19
Q2979,L19037-F167
Q22816,L26516-F1
Q16167,L24268-F4
Q41770,L25938-F1
Q17347,L24765-F7
Q40150,L22710-F4
Q14791,L21001-F44
Q65347,L24268-F4
Q33318,L25938-F108
Q60400,L22180-F10
Q45716,L25103-F19
Q12799,L21001-F296
Q54831,L22180-F75
Q15268,L21001-F110
Q64202,L25938-F1
Q25735,L25103-F75
Q69863,L23749-F199
Q45846,L25938-F4
Q45343,L25938-F1
Q65150,L24268-F10
Q24539,L23835-F276
Q45977,L22958-F2
Q65166,L25938-F4
Q47712,L25938-F1
Q43836,L24255-F339
Q30711,L22120-F161
Q23200,L24349-F193
Q21379,L21894-F4
Q54336,L23944-F10
Q29569,L25938-F4
Q42145,L25909-F75
Q47674,L21369-F110
Q16340,L24707-F1
Q17507,L25938-F4
Q20717,L25938-F4
Q39173,L22483-F76
Q46285,L25938-F108
Q59837,L25938-F7
Q71595,L22441-F55
Q70647,L25938-F4
Q23006,L25938-F1
Q30020,L25938-F7
Q68161,L25938-F4
Q1656,L18873-F1
Q14767,L21001-F274
Q16118,L25938-F4
Q32349,L25938-F4
Q14763,L21001-F8
Q60644,L25941-F87
Q38056,L23334-F64
Q34821,L22721-F360
Q30178,L24333-F2
Q43083,L21600-F93
Q71622,L23835-F4
Q49023,L24422-F58
Q37485,L25938-F4
Q40795,L25938-F4
Q777,L18703-F11
Q68152,L25938-F4
Q37169,L24625-F55
Q12174,L20887-F93
Q65610,L25938-F18
Q49117,L25939-F149
Q62912,L25200-F4
Q58457,L26160-F30
Q810,L18707-F10
Q50133,L25938-F4
Q16300,L25122-F333
Q65216,L24255-F4
Q70684,L25938-F4
Q34547,L22358-F7
Q51931,L22721-F2
Q70656,L25938-F1
Q17651,L26261-F4
Q27727,L25938-F4
Q69830,L25266-F96
Q2978,L19037-F161
Q21581,L22721-F186
Q46393,L21184-F161
Q36582,L25938-F4
Q12278,L20927-F9
Q62922,L25938-F7
Q19538,L26577-F195
Q10849,L20482-F246
Q47711,L25938-F1
Q16568,L25938-F1
Q29814,L26282-F259
Q69651,L21628-F10
Q41723,L23430-F4
Q23572,L26429-F144
Q43180,L24268-F10
Q14762,L21001-F38
Q18885,L25938-F108
Q3428,L19119-F2
Q33444,L23334-F58
Q22572,L25938-F108
Q32284,L25938-F77
Q48213,L24268-F67
Q33667,L23749-F199
Q49301,L26167-F61
Q32284,L25939-F149
Q67715,L25938-F1
Q62767,L22710-F4
Q68233,L21811-F1
Q63813,L23818-F4
Q14768,L21001-F110
Q62531,L24268-F4
Q23005,L25938-F1
