lexeme_id	label
c1891	circumstruo
c1892	circumstupeo
c1893	circumsudo
c1894	circumsurgo
c1896	circumtego
c1897	circumtendo
c1898	circumteneo
c1899	circumtergeo
c1900	circumtermino
c1901	circumtero
c1903	circumtinnio
c1904	circumtollo
c1905	circumtono
c1907	circumtorqueo
c1908	circumtraho
c1909	circumtueor
c1910	circumtundo
c1911	circumuado
c1912	circumuagor
c1914	circumuallo
c1916	circumuectitor
c1917	circumuecto
c1918	circumuehor
c1920	circumuelo
c1921	circumuenio
c1925	circumuerro
c1927	circumuersor
c1928	circumuerto
c1929	circumuestio
c1930	circumuincio
c1931	circumuiso
c1933	circumungo
c1934	circumuolito
c1935	circumuolo
c1936	circumuoluo
c1938	circumuolutor
c1986	citharizo
c1991	cito
c2018	clamito
c2019	clamo
c2027	clango
c2030	clareo
c2030_sc	claresco
c2031	clarico
c2033	clarifico
c2037	clarigito
c2038	clarigo
c2044	claro
c2054	clatro
c2058	claudo
c2060	claudico
c2072	clauo
c2089	clepo
c2092	clepto
c2097	commiseresco
c2115	clingo
c2117	clino
c2121	clipeo
c2137	cloaco
c2139	clocito
c2140	clodor
c2143	clucio
c2145	cluo
c2160	clysterio
c2162	clysterizo
c2176	coaceruo
c2177	coacesco
c2185	coacto
c2189	coaddo
c2191	coadiuuo
c2192	coadolesco
c2193	coadoro
c2196	coaduno
c2198	coaedifico
c2199	coaegroto
c2201	coaequo
c2202	coaestimo
c2206	coaeto
c2209	coaggero
c2210	coagito
c2212	coagmento
c2217	coagulo
c2219	coalesco
c2222	coambulo
c2224	coangusto
c2228	coapto
c2229	coarguo
c2232	coarmo
c2234	coarticulo
c2235	coarto
c2238	coaudio
c2240	coaxo
c2241	coaxo
c2262	cocionor
c2268	coemo
c2280	coeo
c2281	coepio
c2285	coepto
c2286	coepulor
c2287	coerceo
c2290	coerro
c2293	coexercito
c2294	coexsisto
c2304	cogito
c2320	cognomino
c2322	cognosco
c2323	cogo
c2326	cohabito
c2327	cohaereo
c2330	cohibeo
c2333	cohonesto
c2334	cohorresco
c2341	cohorto
c2343	concupio
c2344	cohumido
c2346	coimbibo
c2349	coinquino
c2350	coinquo
c2353	colaphizo
c2361	collabefacio
c2365	collabasco
c2366	collabefacto
c2367	collabefio
c2368	collabello
c2369	collabor
c2370	collaboro
c2371	collacero
c2373	collacrimo
c2376	congemisco
c2377	collaetor
c2381	collatero
c2386	collatro
c2390	collaudo
c2391	collaxo
c2403	conscio
c2411	colleuo
c2413	collibro
c2414	collibet
c2418	collicio
c2421	collido
c2425	colligo
c2426	colligo
c2429	collimito
c2430	collimo
c2431	collinio
c2432	collino
c2434	colliquefacio
c2435	colliquefio
c2436	colliquesco
c2441	colloco
c2442	collocupleto
c2446	colloquor
c2447	colluceo
c2448	colluco
c2451	colluctor
c2453	colludo
c2455	collugeo
c2457	collumino
c2458	colluo
c2465	collustro
c2467	collutulento
c2479	colo
c2480	colo
c2507	coloro
c2511	consuesco
c2527	columbor
c2556	combaiulo
c2560	combibo
c2563	combino
c2565	combullio
c2566	comburo
c2569	comedo
c2584	comissor
c2592	comitio
c2595	comito
c2598	commacero
c2600	commaculo
c2601	commadeo
c2603	commalaxo
c2604	commalleo
c2605	commando
c2607	commanduco
c2608	commaneo
c2609	cupisco
c2614	commarceo
c2614_sc	commarcesco
c2615	commargino
c2618	commasculo
c2619	commastico
c2622	commaturesco
c2627	commeditor
c2628	commingo
c2629	commeleto
c2631	commemini
c2637	commemoro
c2645	commendo
c2655	commentior
c2656	commento
c2658	commeo
c2660	commercior
c2662	commercor
c2663	commereo
c2664	commetior
c2665	commeto
c2668	commigro
c2671	commilito
c2677	comminisco
c2678	comminor
c2679	comminuo
c2682	commisceo
c2686	commisereor
c2689	commisero
c2694	commitigo
c2695	committo
c2704	commodo
c2710	commolio
c2711	commolo
c2712	commonefacio
c2713	commonefio
c2714	commoneo
c2719	commonstro
c2722	commordeo
c2723	commorior
c2724	commoro
c2725	commorsico
c2731	commoto
c2733	commoueo
c2734	commugeo
c2735	commulceo
c2736	commulco
c2737	commultiplico
c2739	commundo
c2745	communico
c2746	communio
c2753	commurmuro
c2756	commuto
c2757	como
c2758	como
c2765	compaciscor
c2776	compagino
c2778	compalpo
c2785	compareo
c2786	comparo
c2789	compartior
c2790	comparturio
c2791	compasco
c2797	compatior
c2802	compauesco
c2803	compauio
c2805	compecco
c2806	compedio
c2810	compello
c2811	compello
c2813	compendio
c2816	compendo
c2819	compenso
c2820	comperco
c2824	comperendino
c2826	compereo
c2827	comperio
c2832	compesco
c2836	competo
c2839	compilo
c2840	compingo
c2841	compingo
c2842	compinguesco
c2847	complaceo
c2848	complaco
c2851	complano
c2853	complanto
c2854	complecto
c2856	compleo
c2865	complexor
c2868	complico
c2869	complodo
c2871	comploro
c2872	compluo
c2880	compondero
c2881	compono
c2885	comporto
c2894	comprecor
c2895	comprehendo
c2899	comprehenso
c2902	compresso
c2904	comprimo
c2909	comprobo
c2912	compromitto
c2918	compugno
c2922	compulso
c2925	compungo
c2927	compurgo
c2931	computesco
c2932	computo
c2933	computresco
c2943	concaco
c2944	concado
c2946	concalefacio
c2947	concalefio
c2949	concaleo
c2949_sc	concalesco
c2951	concallesco
c2952	concalo
c2954	concamero
c2955	concandefacio
c2956	concapio
c2960	concarno
c2961	concastigo
c2963	concateno
c2966	concauo
c2968	concedo
c2969	concelebro
c2972	concelo
c2977	concenturio
c2983	concepto
c2986	concerno
c2987	concerpo
c2992	concerto
c2996	concesso
c3010	concido
c3011	concido
c3013	concieo
c3020	concilio
c3023	concingo
c3030	concinno
c3032	concino
c3033	concipilo
c3034	concipio
c3042	concito
c3046	conclamito
c3047	conclamo
c3051	concludo
c3059	concomitor
c3060	concoquo
c3066	concordo
c3070	concorporo
c3072	concrasso
c3073	concrebresco
c3074	concredo
c3077	concremo
c3078	concreo
c3080	concrepito
c3081	concrepo
c3082	concresco
c3084	concriminor
c3085	concrispo
c3087	concrucifigo
c3088	concrucio
c3099	concubo
c3101	conculco
c3103	concumbo
c3105	concupisco
c3112	concuro
c3113	concurro
c3118	concursito
c3119	concurso
c3120	concuruo
c3124	concustodio
c3125	concutio
c3128	condecet
c3130	condeclino
c3132	condecoro
c3136	condelector
c3137	condeliquesco
c3141	condemno
c3143	condenso
c3146	condepso
c3147	condescendo
c3154	condico
c3162	condio
c3165	condisco
c3174	condo
c3175	condocefacio
c3176	condoceo
c3178	condoleo
c3178_sc	condolesco
c3179	condomo
c3182	condono
c3183	condormio
c3183_sc	condormisco
c3186	conduco
c3193	condulco
c3196	conduplico
c3198	conduro
c3201	conecto
c3204	confabricor
c3207	confabulor
c3213	confarreo
c3220	confercio
c3221	confermento
c3222	confero
c3223	conferrumino
c3226	conferuefacio
c3227	conferueo
c3227_sc	conferuesco
c3234	conficio
c3235	confio
c3237	conficto
c3241	confido
c3242	configo
c3244	configuro
c3246	confindo
c3247	confingo
c3256	confirmo
c3258	confisco
c3260	confiteor
c3263	conflabello
c3264	conflaccesco
c3267	conflagro
c3268	conflammo
c3273	confuto
c3278	conflicto
c3281	confligo
c3282	conflo
c3283	confloreo
c3284	confluctuo
c3286	confluo
c3289	confodio
c3291	confoedero
c3293	confoedo
c3296	conforio
c3301	conformo
c3303	confornico
c3305	conforto
c3306	confoueo
c3307	confracesco
c3312	confremo
c3313	confrequento
c3316	confrico
c3317	confrigo
c3318	confringo
c3319	confrio
c3320	confrixo
c3323	confugio
c3325	confuit
c3326	confulcio
c3327	confulgeo
c3328	confundo
c3329	confunero
c3337	confuto
c3338	confutuo
c3339	congarrio
c3340	congaudeo
c3341	congelasco
c3343	congelo
c3345	congemino
c3346	congemo
c3348	congenero
c3351	congenuclo
c3355	congermanesco
c3359	congermino
c3360	congero
c3366	congesto
c3370	conglacio
c3371	conglisco
c3374	conglobo
c3376	conglomero
c3377	conglorifico
c3379	conglutino
c3383	congraeco
c3385	congratulor
c3386	congredior
c3393	congrego
c3400	congruo
c3402	congyro
c3403	coniaceo
c3404	conicio
c3411	coniecto
c3418	connitor
c3419	coniucundor
c3420	conniueo
c3428	coniugo
c3435	coniungo
c3440	coniuro
c3442	connascor
c3444	connumero
c3446	conor
c3448	conquadro
c3449	conquadruplo
c3451	conquasso
c3452	conqueror
c3454	conquiesco
c3455	conquinisco
c3456	conquiro
c3460	consaepio
c3461	consaepto
c3463	consaluto
c3464	consanesco
c3467	consano
c3468	consarcino
c3469	consarcio
c3470	consario
c3471	consaucio
c3472	conscelero
c3473	conscendo
c3475	conscindo
c3476	conscisco
c3479	conscreor
c3480	conscribillo
c3481	conscribo
c3484	conseco
c3489	consecro
c3496	consector
c3499	consedeo
c3500	consedo
c3506	consenesco
c3510	consentio
c3512	consepelio
c3514	consequor
c3515	consermonor
c3516	consero
c3517	consero
c3526	conseruo
c3528	commeto
c3532	considero
c3536	consilior
c3540	consimilo
c3541	consipio
c3543	consisto
c3549	capulo
c3555	consocio
c3568	consolido
c3569	consolo
c3570	consoluo
c3571	consomnio
