flexeme	lexeme	lila_lemma	wikibase_entry
i0836_5618	i0836	106888	L5322
i0844_5619	i0844	106896	L5323
i0845_5620	i0845	106897	L5324
i0848_5621	i0848	106900	L5325
i0853_5622	i0853	106905	L5326
i0858_5623	i0858	106911	L5327
i0859_5624	i0859	106912	L5328
i0859_5625	i0859	106912	L5329
i0859_5626	i0859	106912	L5330
i0871_5627	i0871	106925	L5331
i0874_5628	i0874	106928	L5332
i0875_5629	i0875	106929	L5333
i0877_5630	i0877	106931	L5334
i0882_5631	i0882	106937	L5335
i0882_5632	i0882	106937	L5336
i0882_5633	i0882	106937	L5337
i0885_5634	i0885	106940	L5338
i0889_5635	i0889	106946	L5339
i0889_5636	i0889	106946	L5340
i0895_5637	i0895	106952	L5341
i0897_5638	i0897	106954	L5342
i0898_5639	i0898	106955	L5343
i0898_5640	i0898	106955	L5344
i0901_5641	i0901	106959	L5345
i0903_5642	i0903	106961	L5346
i0904_5643	i0904	106962	L5347
i0906_5644	i0906	106964	L5348
i0906_5645	i0906	106964	L5349
i0907_5646	i0907	106965	L5350
i0908_5647	i0908	106966	L5351
i0908_5648	i0908	106966	L5352
i0923_5649	i0923	106982	L5353
i0929_5650	i0929	106989	L5354
i0930_5651	i0930	106990	L5355
i0931_5652	i0931	106991	L5356
i0935_5653	i0935	106995	L5357
i0944_5654	i0944	107004	L5358
i0945_5655	i0945	107005	L5359
i0955_5656	i0955	107015	L5360
i0957_5657	i0957	107017	L5361
i0960_5658	i0960	107020	L5362
i0960_5659	i0960	107020	L5363
i0960_5660	i0960	107020	L5364
i0960_5661	i0960	107020	L5365
i0965_5663	i0965	107025	L5366
i0974_5664	i0974	107034	L5367
i0984_5665	i0984	107044	L5368
i1008_5666	i1008	107069	L5369
i1079_5667	i1079	107142	L5370
i1080_5668	i1080	107144	L5371
i1080_5669	i1080	107144	L5372
i1080_5670	i1080	107144	L5373
i1088_5671	i1088	107153	L5374
i1098_5672	i1098	107163	L5375
i1099_5673	i1099	107164	L5376
i1101_5674	i1101	107166	L5377
i1101_5675	i1101	107166	L5378
i1102_5676	i1102	107167	L5379
i1109_5677	i1109	107174	L5380
i1116_5678	i1116	107182	L5381
i1117_5679	i1117	107184	L5382
i1117_5680	i1117	107184	L5383
i1117_5681	i1117	107184	L5384
i1118_5682	i1118	107185	L5385
i1119_5683	i1119	107186	L5386
i1120_5684	i1120	107187	L5387
i1126_5685	i1126	107193	L5388
i1130_5686	i1130	107197	L5389
i1131_5687	i1131	107198	L5390
i1131_5688	i1131	107198	L5391
i1131_5689	i1131	107198	L5392
i1134_5690	i1134	107201	L5393
i1134_5691	i1134	107201	L5394
i1137_5692	i1137	107204	L5395
i1137_5693	i1137	107204	L5396
i1141_5694	i1141	107208	L5397
i1143_5695	i1143	107210	L5398
i1143_5696	i1143	107210	L5399
i1148_5697	i1148	107215	L5400
i1156_5698	i1156	107223	L5401
i1161_5700	i1161	107228	L5402
i1162_5701	i1162	107230	L5403
i1166_5702	i1166	107234	L5404
i1166_5703	i1166	107234	L5405
i1169_5704	i1169	107237	L5406
i1176_5705	i1176	107246	L5407
